Transaction ID,Date,Product Category,Product Name,Units Sold,Unit Price,Total Revenue,Region,Payment Method,Total Sales,Discounted Price
10037,2024-02-06,Electronics,Apple Watch Series 8,3,399.99,1199.97,North America,Credit Card,1199.97,359.99100000000004
10038,2024-02-07,Home Appliances,Roomba i7+,2,799.99,1599.98,Europe,PayPal,1599.98,719.991
10039,2024-02-08,Clothing,Columbia Fleece Jacket,4,59.99,239.96,Asia,Debit Card,239.96,53.991
10040,2024-02-09,Books,Harry Potter and the Sorcerer's Stone,3,24.99,74.97,North America,Credit Card,74.97,22.491
10041,2024-02-10,Beauty Products,Estee Lauder Advanced Night Repair,1,105.0,105.0,Europe,PayPal,105.0,94.5
10042,2024-02-11,Sports,Fitbit Charge 5,2,129.99,259.98,Asia,Credit Card,259.98,116.99100000000001
10043,2024-02-12,Electronics,GoPro HERO10 Black,3,399.99,1199.97,North America,Credit Card,1199.97,359.99100000000004
10044,2024-02-13,Home Appliances,Nespresso VertuoPlus,1,199.99,199.99,Europe,PayPal,199.99,179.991
10045,2024-02-14,Clothing,Patagonia Better Sweater,2,139.99,279.98,Asia,Debit Card,279.98,125.99100000000001
10046,2024-02-15,Books,Becoming by Michelle Obama,4,32.5,130.0,North America,Credit Card,130.0,29.25
10047,2024-02-16,Beauty Products,Clinique Moisture Surge,1,52.0,52.0,Europe,PayPal,52.0,46.800000000000004
10048,2024-02-17,Sports,Yeti Rambler Tumbler,6,39.99,239.94,Asia,Credit Card,239.94,35.991
10049,2024-02-18,Electronics,Kindle Paperwhite,2,129.99,259.98,North America,Credit Card,259.98,116.99100000000001
10050,2024-02-19,Home Appliances,Breville Smart Oven,1,299.99,299.99,Europe,PayPal,299.99,269.99100000000004
10051,2024-02-20,Clothing,Ray-Ban Aviator Sunglasses,3,154.99,464.97,Asia,Debit Card,464.97,139.491
10052,2024-02-21,Books,The Silent Patient by Alex Michaelides,2,26.99,53.98,North America,Credit Card,53.98,24.291
10053,2024-02-22,Beauty Products,Shiseido Ultimate Sun Protector,1,49.0,49.0,Europe,PayPal,49.0,44.1
10054,2024-02-23,Sports,Titleist Pro V1 Golf Balls,5,49.99,249.95,Asia,Credit Card,249.95000000000002,44.991
10055,2024-02-24,Electronics,Anker PowerCore Portable Charger,4,59.99,239.96,North America,Credit Card,239.96,53.991
10056,2024-02-25,Home Appliances,KitchenAid Artisan Stand Mixer,1,499.99,499.99,Europe,PayPal,499.99,449.99100000000004
10057,2024-02-26,Clothing,Calvin Klein Boxer Briefs,5,29.99,149.95,Asia,Debit Card,149.95,26.991
10058,2024-02-27,Books,Educated by Tara Westover,3,28.0,84.0,North America,Credit Card,84.0,25.2
10059,2024-02-28,Beauty Products,Anastasia Beverly Hills Brow Wiz,2,23.0,46.0,Europe,PayPal,46.0,20.7
10060,2024-02-29,Sports,Hyperice Hypervolt Massager,1,349.0,349.0,Asia,Credit Card,349.0,314.1
10061,2024-03-01,Electronics,Nintendo Switch,3,299.99,899.97,North America,Credit Card,899.97,269.99100000000004
10062,2024-03-02,Home Appliances,Philips Airfryer XXL,2,199.99,399.98,Europe,PayPal,399.98,179.991
10063,2024-03-03,Clothing,Hanes ComfortSoft T-Shirt,10,9.99,99.9,Asia,Debit Card,99.9,8.991
10064,2024-03-04,Books,Where the Crawdads Sing by Delia Owens,4,18.99,75.96,North America,Credit Card,75.96,17.090999999999998
10065,2024-03-05,Beauty Products,Lancome La Vie Est Belle,1,102.0,102.0,Europe,PayPal,102.0,91.8
10066,2024-03-06,Sports,Garmin Edge 530,2,299.99,599.98,Asia,Credit Card,599.98,269.99100000000004
10067,2024-03-07,Electronics,Samsung QLED 4K TV,1,1199.99,1199.99,North America,Credit Card,1199.99,1079.991
10068,2024-03-08,Home Appliances,Eufy RoboVac 11S,3,219.99,659.97,Europe,PayPal,659.97,197.991
10069,2024-03-09,Clothing,Puma Suede Classic Sneakers,4,59.99,239.96,Asia,Debit Card,239.96,53.991
10070,2024-03-10,Books,The Great Gatsby by F. Scott Fitzgerald,2,10.99,21.98,North America,Credit Card,21.98,9.891
10071,2024-03-11,Beauty Products,Drunk Elephant C-Firma Day Serum,1,78.0,78.0,Europe,PayPal,78.0,70.2
10072,2024-03-12,Sports,Nike Metcon 6,3,129.99,389.97,Asia,Credit Card,389.97,116.99100000000001
10073,2024-03-13,Electronics,HP Spectre x360 Laptop,1,1599.99,1599.99,North America,Credit Card,1599.99,1439.991
10074,2024-03-14,Home Appliances,De'Longhi Magnifica Espresso Machine,1,899.99,899.99,Europe,PayPal,899.99,809.991
10075,2024-03-15,Clothing,Tommy Hilfiger Polo Shirt,5,49.99,249.95,Asia,Debit Card,249.95000000000002,44.991
10076,2024-03-16,Books,To Kill a Mockingbird by Harper Lee,4,14.99,59.96,North America,Credit Card,59.96,13.491
10077,2024-03-17,Beauty Products,Glossier Boy Brow,2,16.0,32.0,Europe,PayPal,32.0,14.4
10078,2024-03-18,Sports,Rogue Fitness Kettlebell,3,69.99,209.97,Asia,Credit Card,209.96999999999997,62.991
10079,2024-03-19,Electronics,Apple AirPods Pro,2,249.99,499.98,North America,Credit Card,499.98,224.991
10080,2024-03-20,Home Appliances,Dyson Pure Cool Link,1,499.99,499.99,Europe,PayPal,499.99,449.99100000000004
10081,2024-03-21,Clothing,Levi's Trucker Jacket,2,89.99,179.98,Asia,Debit Card,179.98,80.991
10082,2024-03-22,Books,The Hobbit by J.R.R. Tolkien,3,12.99,38.97,North America,Credit Card,38.97,11.691
10083,2024-03-23,Beauty Products,Charlotte Tilbury Magic Cream,1,100.0,100.0,Europe,PayPal,100.0,90.0
10084,2024-03-24,Sports,Spalding NBA Street Basketball,6,24.99,149.94,Asia,Credit Card,149.94,22.491
10085,2024-03-25,Electronics,Ring Video Doorbell,1,99.99,99.99,North America,Credit Card,99.99,89.991
10086,2024-03-26,Home Appliances,LG OLED TV,2,1299.99,2599.98,Europe,PayPal,2599.98,1169.991
10087,2024-03-27,Clothing,Uniqlo Ultra Light Down Jacket,3,79.99,239.97,Asia,Debit Card,239.96999999999997,71.991
10088,2024-03-28,Books,The Catcher in the Rye by J.D. Salinger,4,13.99,55.96,North America,Credit Card,55.96,12.591000000000001
10089,2024-03-29,Beauty Products,Sunday Riley Good Genes,1,105.0,105.0,Europe,PayPal,105.0,94.5
10090,2024-03-30,Sports,On Running Cloud Shoes,2,129.99,259.98,Asia,Credit Card,259.98,116.99100000000001
10091,2024-03-31,Electronics,Logitech MX Master 3 Mouse,2,99.99,199.98,North America,Credit Card,199.98,89.991
10092,2024-04-01,Home Appliances,Instant Pot Duo Crisp,1,179.99,179.99,Europe,PayPal,179.99,161.991
10093,2024-04-02,Clothing,Adidas Originals Superstar Sneakers,4,79.99,319.96,Asia,Debit Card,319.96,71.991
10094,2024-04-03,Books,The Alchemist by Paulo Coelho,3,14.99,44.97,North America,Credit Card,44.97,13.491
10095,2024-04-04,Beauty Products,Tatcha The Water Cream,1,68.0,68.0,Europe,PayPal,68.0,61.2
10096,2024-04-05,Sports,Garmin Fenix 6X Pro,1,999.99,999.99,Asia,Credit Card,999.99,899.991
10097,2024-04-06,Electronics,Bose SoundLink Revolve+ Speaker,3,299.99,899.97,North America,Credit Card,899.97,269.99100000000004
10098,2024-04-07,Home Appliances,Vitamix Explorian Blender,1,349.99,349.99,Europe,PayPal,349.99,314.99100000000004
10099,2024-04-08,Clothing,Gap Essential Crewneck T-Shirt,6,19.99,119.94,Asia,Debit Card,119.94,17.991
10100,2024-04-09,Books,The Power of Now by Eckhart Tolle,2,12.99,25.98,North America,Credit Card,25.98,11.691
10101,2024-04-10,Beauty Products,Kiehl's Midnight Recovery Concentrate,1,82.0,82.0,Europe,PayPal,82.0,73.8
10102,2024-04-11,Sports,Under Armour HOVR Sonic 4 Shoes,2,109.99,219.98,Asia,Credit Card,219.98,98.991
10103,2024-04-12,Electronics,Canon EOS R5 Camera,1,3899.99,3899.99,North America,Credit Card,3899.99,3509.991
10104,2024-04-13,Home Appliances,Shark IQ Robot Vacuum,2,349.99,699.98,Europe,PayPal,699.98,314.99100000000004
10105,2024-04-14,Clothing,H&M Slim Fit Jeans,3,39.99,119.97,Asia,Debit Card,119.97,35.991
10106,2024-04-15,Books,The Girl on the Train by Paula Hawkins,4,10.99,43.96,North America,Credit Card,43.96,9.891
10107,2024-04-16,Beauty Products,The Ordinary Niacinamide Serum,1,6.5,6.5,Europe,PayPal,6.5,5.8500000000000005
10108,2024-04-17,Sports,Bowflex SelectTech 552 Dumbbells,1,399.99,399.99,Asia,Credit Card,399.99,359.99100000000004
10109,2024-04-18,Electronics,Google Nest Hub Max,2,229.99,459.98,North America,Credit Card,459.98,206.991
10110,2024-04-19,Home Appliances,Cuisinart Griddler Deluxe,1,159.99,159.99,Europe,PayPal,159.99,143.991
10111,2024-04-20,Clothing,Old Navy Relaxed-Fit T-Shirt,4,14.99,59.96,Asia,Debit Card,59.96,13.491
10112,2024-04-21,Books,Sapiens: A Brief History of Humankind by Yuval Noah Harari,2,18.99,37.98,North America,Credit Card,37.98,17.090999999999998
10113,2024-04-22,Beauty Products,Biore UV Aqua Rich Watery Essence Sunscreen,1,15.0,15.0,Europe,PayPal,15.0,13.5
10114,2024-04-23,Sports,Fitbit Versa 3,3,229.95,689.85,Asia,Credit Card,689.8499999999999,206.95499999999998
10115,2024-04-24,Electronics,Amazon Echo Show 10,1,249.99,249.99,North America,Credit Card,249.99,224.991
10116,2024-04-25,Home Appliances,Breville Smart Grill,2,299.95,599.9,Europe,PayPal,599.9,269.955
10117,2024-04-26,Clothing,Gap High Rise Skinny Jeans,3,49.99,149.97,Asia,Debit Card,149.97,44.991
10118,2024-04-27,Books,Atomic Habits by James Clear,4,16.99,67.96,North America,Credit Card,67.96,15.290999999999999
10119,2024-04-28,Beauty Products,CeraVe Hydrating Facial Cleanser,2,14.99,29.98,Europe,PayPal,29.98,13.491
10120,2024-04-29,Sports,YETI Hopper Flip Portable Cooler,1,249.99,249.99,Asia,Credit Card,249.99,224.991
10121,2024-04-30,Electronics,Apple iPad Air,2,599.99,1199.98,North America,Credit Card,1199.98,539.991
10122,2024-05-01,Home Appliances,Hamilton Beach FlexBrew Coffee Maker,1,89.99,89.99,Europe,PayPal,89.99,80.991
10123,2024-05-02,Clothing,Forever 21 Graphic Tee,5,12.99,64.95,Asia,Debit Card,64.95,11.691
10124,2024-05-03,Books,The Subtle Art of Not Giving a F*ck by Mark Manson,3,14.99,44.97,North America,Credit Card,44.97,13.491
10125,2024-05-04,Beauty Products,NARS Radiant Creamy Concealer,1,30.0,30.0,Europe,PayPal,30.0,27.0
10126,2024-05-05,Sports,Yeti Roadie 24 Cooler,1,199.99,199.99,Asia,Credit Card,199.99,179.991
10127,2024-05-06,Electronics,Sony PlayStation 5,1,499.99,499.99,North America,Credit Card,499.99,449.99100000000004
10128,2024-05-07,Home Appliances,Dyson Supersonic Hair Dryer,2,399.99,799.98,Europe,PayPal,799.98,359.99100000000004
10129,2024-05-08,Clothing,Lululemon Align Leggings,3,98.0,294.0,Asia,Debit Card,294.0,88.2
10130,2024-05-09,Books,The Four Agreements by Don Miguel Ruiz,2,8.99,17.98,North America,Credit Card,17.98,8.091000000000001
10131,2024-05-10,Beauty Products,Fenty Beauty Killawatt Highlighter,1,36.0,36.0,Europe,PayPal,36.0,32.4
10132,2024-05-11,Sports,Hydro Flask Wide Mouth Water Bottle,4,39.95,159.8,Asia,Credit Card,159.8,35.955000000000005
10133,2024-05-12,Electronics,Microsoft Surface Laptop 4,1,1299.99,1299.99,North America,Credit Card,1299.99,1169.991
10134,2024-05-13,Home Appliances,Keurig K-Mini Coffee Maker,2,79.99,159.98,Europe,PayPal,159.98,71.991
10135,2024-05-14,Clothing,Gap Crewneck Sweatshirt,4,34.99,139.96,Asia,Debit Card,139.96,31.491000000000003
10136,2024-05-15,Books,Think and Grow Rich by Napoleon Hill,3,9.99,29.97,North America,Credit Card,29.97,8.991
10137,2024-05-16,Beauty Products,The Ordinary Hyaluronic Acid Serum,1,6.8,6.8,Europe,PayPal,6.8,6.12
10138,2024-05-17,Sports,Fitbit Inspire 2,2,99.95,199.9,Asia,Credit Card,199.9,89.955
10139,2024-05-18,Electronics,Samsung Odyssey G9 Gaming Monitor,1,1499.99,1499.99,North America,Credit Card,1499.99,1349.991
10140,2024-05-19,Home Appliances,Instant Pot Ultra,1,139.99,139.99,Europe,PayPal,139.99,125.99100000000001
10141,2024-05-20,Clothing,Adidas Essential Track Pants,3,44.99,134.97,Asia,Debit Card,134.97,40.491
10142,2024-05-21,Books,The Power of Habit by Charles Duhigg,2,11.99,23.98,North America,Credit Card,23.98,10.791
10143,2024-05-22,Beauty Products,Clinique Dramatically Different Moisturizing Lotion,1,29.5,29.5,Europe,PayPal,29.5,26.55
10144,2024-05-23,Sports,YETI Tundra 45 Cooler,1,299.99,299.99,Asia,Credit Card,299.99,269.99100000000004
10145,2024-05-24,Electronics,Apple AirPods Max,1,549.0,549.0,North America,Credit Card,549.0,494.1
10146,2024-05-25,Home Appliances,Cuisinart Coffee Center,2,199.95,399.9,Europe,PayPal,399.9,179.95499999999998
10147,2024-05-26,Clothing,Levi's Sherpa Trucker Jacket,2,98.0,196.0,Asia,Debit Card,196.0,88.2
10148,2024-05-27,Books,The Outsiders by S.E. Hinton,3,10.99,32.97,North America,Credit Card,32.97,9.891
10149,2024-05-28,Beauty Products,Laneige Water Sleeping Mask,1,25.0,25.0,Europe,PayPal,25.0,22.5
10150,2024-05-29,Sports,Bose SoundSport Wireless Earbuds,2,149.99,299.98,Asia,Credit Card,299.98,134.991
10151,2024-05-30,Electronics,Sony WH-1000XM4 Headphones,1,349.99,349.99,North America,Credit Card,349.99,314.99100000000004
10152,2024-05-31,Home Appliances,Ninja Foodi Pressure Cooker,2,199.99,399.98,Europe,PayPal,399.98,179.991
10153,2024-06-01,Clothing,Nike Sportswear Club Fleece Hoodie,3,54.99,164.97,Asia,Debit Card,164.97,49.491
10154,2024-06-02,Books,The Night Circus by Erin Morgenstern,2,16.99,33.98,North America,Credit Card,33.98,15.290999999999999
10155,2024-06-03,Beauty Products,GlamGlow Supermud Clearing Treatment,1,59.0,59.0,Europe,PayPal,59.0,53.1
10156,2024-06-04,Sports,Garmin Forerunner 245,1,299.99,299.99,Asia,Credit Card,299.99,269.99100000000004
10157,2024-06-05,Electronics,Google Pixel 6 Pro,1,899.99,899.99,North America,Credit Card,899.99,809.991
10158,2024-06-06,Home Appliances,Breville Nespresso Creatista Plus,1,499.95,499.95,Europe,PayPal,499.95,449.955
10159,2024-06-07,Clothing,Under Armour Tech 2.0 T-Shirt,4,24.99,99.96,Asia,Debit Card,99.96,22.491
10160,2024-06-08,Books,The Art of War by Sun Tzu,3,7.99,23.97,North America,Credit Card,23.97,7.191000000000001
10161,2024-06-09,Beauty Products,Youth to the People Superfood Antioxidant Cleanser,1,36.0,36.0,Europe,PayPal,36.0,32.4
10162,2024-06-10,Sports,TriggerPoint GRID Foam Roller,2,34.99,69.98,Asia,Credit Card,69.98,31.491000000000003
10163,2024-06-11,Electronics,Apple MacBook Air,1,1199.99,1199.99,North America,Credit Card,1199.99,1079.991
10164,2024-06-12,Home Appliances,Cuisinart Custom 14-Cup Food Processor,1,199.99,199.99,Europe,PayPal,199.99,179.991
10165,2024-06-13,Clothing,Adidas 3-Stripes Shorts,5,29.99,149.95,Asia,Debit Card,149.95,26.991
10166,2024-06-14,Books,The Hunger Games by Suzanne Collins,4,8.99,35.96,North America,Credit Card,35.96,8.091000000000001
10167,2024-06-15,Beauty Products,Neutrogena Hydro Boost Water Gel,1,16.99,16.99,Europe,PayPal,16.99,15.290999999999999
10168,2024-06-16,Sports,Yeti Rambler Bottle,3,49.99,149.97,Asia,Credit Card,149.97,44.991
10169,2024-06-17,Electronics,Samsung Odyssey G7 Gaming Monitor,1,699.99,699.99,North America,Credit Card,699.99,629.991
10170,2024-06-18,Home Appliances,Instant Pot Duo Evo Plus,2,139.99,279.98,Europe,PayPal,279.98,125.99100000000001
10171,2024-06-19,Clothing,Nike Tempo Running Shorts,3,34.99,104.97,Asia,Debit Card,104.97,31.491000000000003
10172,2024-06-20,Books,The Girl with the Dragon Tattoo by Stieg Larsson,2,9.99,19.98,North America,Credit Card,19.98,8.991
10173,2024-06-21,Beauty Products,Paula's Choice Skin Perfecting 2% BHA Liquid Exfoliant,1,29.5,29.5,Europe,PayPal,29.5,26.55
10174,2024-06-22,Sports,Bowflex SelectTech 1090 Adjustable Dumbbells,1,699.99,699.99,Asia,Credit Card,699.99,629.991
10175,2024-06-23,Electronics,Amazon Fire TV Stick 4K,3,49.99,149.97,North America,Credit Card,149.97,44.991
10176,2024-06-24,Home Appliances,Crock-Pot 6-Quart Slow Cooker,2,49.99,99.98,Europe,PayPal,99.98,44.991
10177,2024-06-25,Clothing,Uniqlo Airism Mesh Boxer Briefs,4,14.9,59.6,Asia,Debit Card,59.6,13.41
10178,2024-06-26,Books,The Sun Also Rises by Ernest Hemingway,3,11.99,35.97,North America,Credit Card,35.97,10.791
10179,2024-06-27,Beauty Products,First Aid Beauty Ultra Repair Cream,2,34.0,68.0,Europe,PayPal,68.0,30.6
10180,2024-06-28,Sports,Oakley Holbrook Sunglasses,1,146.0,146.0,Asia,Credit Card,146.0,131.4
10181,2024-06-29,Electronics,Google Pixelbook Go,1,649.99,649.99,North America,Credit Card,649.99,584.991
10182,2024-06-30,Home Appliances,Dyson V8 Absolute,1,399.99,399.99,Europe,PayPal,399.99,359.99100000000004
10183,2024-07-01,Clothing,Levi's 511 Slim Fit Jeans,3,59.99,179.97,Asia,Debit Card,179.97,53.991
10184,2024-07-02,Books,The Martian by Andy Weir,2,12.99,25.98,North America,Credit Card,25.98,11.691
10185,2024-07-03,Beauty Products,La Mer Crème de la Mer Moisturizer,1,190.0,190.0,Europe,PayPal,190.0,171.0
10186,2024-07-04,Sports,Polar Vantage V2,1,499.95,499.95,Asia,Credit Card,499.95,449.955
10187,2024-07-05,Electronics,Sonos Beam Soundbar,1,399.0,399.0,North America,Credit Card,399.0,359.1
10188,2024-07-06,Home Appliances,Anova Precision Cooker,2,199.0,398.0,Europe,PayPal,398.0,179.1
10189,2024-07-07,Clothing,Nike Dri-FIT Training Shorts,4,34.99,139.96,Asia,Debit Card,139.96,31.491000000000003
10190,2024-07-08,Books,The Catcher in the Rye by J.D. Salinger,3,10.99,32.97,North America,Credit Card,32.97,9.891
10191,2024-07-09,Beauty Products,Glossier Cloud Paint,1,18.0,18.0,Europe,PayPal,18.0,16.2
10192,2024-07-10,Sports,TRX All-in-One Suspension Training System,1,169.95,169.95,Asia,Credit Card,169.95,152.95499999999998
10193,2024-07-11,Electronics,Logitech G Pro X Wireless Gaming Headset,1,199.99,199.99,North America,Credit Card,199.99,179.991
10194,2024-07-12,Home Appliances,Breville Smart Coffee Grinder Pro,1,199.95,199.95,Europe,PayPal,199.95,179.95499999999998
10195,2024-07-13,Clothing,Adidas Ultraboost Running Shoes,2,179.99,359.98,Asia,Debit Card,359.98,161.991
10196,2024-07-14,Books,The Road by Cormac McCarthy,2,11.99,23.98,North America,Credit Card,23.98,10.791
10197,2024-07-15,Beauty Products,Tom Ford Black Orchid Perfume,1,125.0,125.0,Europe,PayPal,125.0,112.5
10198,2024-07-16,Sports,GoPro HERO9 Black,1,449.99,449.99,Asia,Credit Card,449.99,404.99100000000004
10199,2024-07-17,Electronics,Apple TV 4K,2,179.0,358.0,North America,Credit Card,358.0,161.1
10200,2024-07-18,Home Appliances,Instant Pot Duo Nova,1,99.95,99.95,Europe,PayPal,99.95,89.955
10201,2024-07-19,Clothing,Gap 1969 Original Fit Jeans,3,59.99,179.97,Asia,Debit Card,179.97,53.991
10202,2024-07-20,Books,The Goldfinch by Donna Tartt,2,14.99,29.98,North America,Credit Card,29.98,13.491
10203,2024-07-21,Beauty Products,Dr. Jart+ Cicapair Tiger Grass Color Correcting Treatment,1,52.0,52.0,Europe,PayPal,52.0,46.800000000000004
10204,2024-07-22,Sports,Yeti Tundra Haul Portable Wheeled Cooler,1,399.99,399.99,Asia,Credit Card,399.99,359.99100000000004
10205,2024-07-23,Electronics,Samsung Galaxy Watch 4,1,299.99,299.99,North America,Credit Card,299.99,269.99100000000004
10206,2024-07-24,Home Appliances,KitchenAid Stand Mixer,1,379.99,379.99,Europe,PayPal,379.99,341.99100000000004
10207,2024-07-25,Clothing,Lululemon Wunder Under High-Rise Leggings,2,98.0,196.0,Asia,Debit Card,196.0,88.2
10208,2024-07-26,Books,The Great Alone by Kristin Hannah,3,16.99,50.97,North America,Credit Card,50.97,15.290999999999999
10209,2024-07-27,Beauty Products,Caudalie Vinoperfect Radiance Serum,1,79.0,79.0,Europe,PayPal,79.0,71.10000000000001
10210,2024-07-28,Sports,Bose SoundLink Color Bluetooth Speaker II,1,129.0,129.0,Asia,Credit Card,129.0,116.10000000000001
10211,2024-07-29,Electronics,Canon EOS Rebel T7i DSLR Camera,1,749.99,749.99,North America,Credit Card,749.99,674.991
10212,2024-07-30,Home Appliances,Keurig K-Elite Coffee Maker,2,169.99,339.98,Europe,PayPal,339.98,152.991
10213,2024-07-31,Clothing,Uniqlo Airism Seamless Boxer Briefs,4,9.9,39.6,Asia,Debit Card,39.6,8.91
10214,2024-08-01,Books,The Girl with the Dragon Tattoo by Stieg Larsson,3,10.99,32.97,North America,Credit Card,32.97,9.891
10215,2024-08-02,Beauty Products,L'Occitane Shea Butter Hand Cream,2,29.0,58.0,Europe,PayPal,58.0,26.1
10216,2024-08-03,Sports,YETI Tundra 65 Cooler,1,349.99,349.99,Asia,Credit Card,349.99,314.99100000000004
10217,2024-08-04,Electronics,Apple MacBook Pro 16-inch,1,2399.0,2399.0,North America,Credit Card,2399.0,2159.1
10218,2024-08-05,Home Appliances,iRobot Braava Jet M6,1,449.99,449.99,Europe,PayPal,449.99,404.99100000000004
10219,2024-08-06,Clothing,Champion Reverse Weave Hoodie,3,49.99,149.97,Asia,Debit Card,149.97,44.991
10220,2024-08-07,Books,The Nightingale by Kristin Hannah,2,12.99,25.98,North America,Credit Card,25.98,11.691
10221,2024-08-08,Beauty Products,Tarte Shape Tape Concealer,1,27.0,27.0,Europe,PayPal,27.0,24.3
10222,2024-08-09,Sports,Garmin Forerunner 945,1,599.99,599.99,Asia,Credit Card,599.99,539.991
10223,2024-08-10,Electronics,Amazon Echo Dot (4th Gen),4,49.99,199.96,North America,Credit Card,199.96,44.991
10224,2024-08-11,Home Appliances,Philips Sonicare DiamondClean Toothbrush,2,229.99,459.98,Europe,PayPal,459.98,206.991
10225,2024-08-12,Clothing,Old Navy Mid-Rise Rockstar Super Skinny Jeans,2,44.99,89.98,Asia,Debit Card,89.98,40.491
10226,2024-08-13,Books,The Silent Patient by Alex Michaelides,3,26.99,80.97,North America,Credit Card,80.97,24.291
10227,2024-08-14,Beauty Products,The Ordinary Caffeine Solution 5% + EGCG,1,6.7,6.7,Europe,PayPal,6.7,6.03
10228,2024-08-15,Sports,Fitbit Luxe,2,149.95,299.9,Asia,Credit Card,299.9,134.95499999999998
10229,2024-08-16,Electronics,Google Nest Wifi Router,1,169.0,169.0,North America,Credit Card,169.0,152.1
10230,2024-08-17,Home Appliances,Anova Precision Oven,1,599.0,599.0,Europe,PayPal,599.0,539.1
10231,2024-08-18,Clothing,Adidas Originals Trefoil Hoodie,4,64.99,259.96,Asia,Debit Card,259.96,58.491
